"ANO_ELEICAO";"SG_UF";"NM_URNA_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_CARGO";"ST_REELEICAO";"NR_IDADE_DATA_POSSE"
2018;"RJ";"ARTUR";"SOLIDARIEDADE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";63
2018;"MA";"PROF. FERNANDA SUELY";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";49
2018;"GO";"JOÃO ROCHA";"PP";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";63
2018;"RJ";"IRMÃO BIRA";"PMB";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"DEPUTADO ESTADUAL";"N";49
2018;"PR";"MEXICANO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";67
2018;"RJ";"DR RENÉ";"PR";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";47
2018;"RJ";"RODRIGO TRIANE";"PSL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";31
2018;"DF";"DIRSOMAR";"PSD";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO DISTRITAL";"N";57
2018;"PA";"XARÃO LEÃO";"PROS";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO FEDERAL";"N";55
2018;"AP";"TOM SALDANHA";"REDE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";35
2018;"SP";"JOSÉ PAPA JUNIOR";"DC";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";78
2018;"SE";"BERNADETE";"PTC";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";63
2018;"SE";"AMENDOIM";"PTC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";44
2018;"CE";"NESTOR BEZERRA";"PSOL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";51
2018;"SE";"PROFESSOR BOTTINO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";52
2018;"PR";"BROTHER LOYOLA";"PTC";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO FEDERAL";"N";57
2018;"RR";"CRISTIANO ELETRICISTA";"DEM";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";51
2018;"RS";"CHARLES MORAIS LOCUTOR";"PP";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO ESTADUAL";"N";28
2018;"RS";"LUCIANE HANAU";"PMN";"FEMININO";"LÊ E ESCREVE";"DEPUTADO ESTADUAL";"N";33
2018;"SE";"GENIVAL DO BUGIO";"AVANTE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";46
2018;"AP";"ADENI DO MACAPABA";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";37
2018;"PR";"JOÃO MENDONÇA";"MDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";65
2018;"SP";"SANDRA SANTOS";"PDT";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";59
2018;"PR";"DR. NASSIB";"PMN";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";51
2018;"CE";"PEDRO CAÚLA";"PODE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";34
2018;"RJ";"LEANDRO BARROS";"PODE";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"DEPUTADO ESTADUAL";"N";35
